Date,Close,Open,High,Low,Volume
2017-03-11,1186.99,1143.23,1197.72,1143.23,2363.56145682
2017-03-10,1243.01,1200.75,1325.0,980.01,14365.657301700003
2017-03-09,1195.29,1156.39,1211.82,1150.01,2361.39424499
2017-03-08,1190.56,1211.02,1232.8,1135.51,5945.39470928
2017-03-07,1232.52,1285.38,1287.41,1188.97,7238.34986478
2017-03-06,1279.91,1276.51,1288.98,1275.0,3290.76911325
2017-03-05,1272.97,1265.0,1279.99,1245.21,1796.8596103
2017-03-04,1263.57,1285.01,1287.99,1241.01,1671.77982553
2017-03-03,1283.14,1272.07,1293.35,1261.43,15533.0057466
2017-03-02,1256.98,1224.0,1285.1,1215.36,12732.4698281
2017-03-01,1219.93,1197.68,1233.59,1190.62,3736.41434376
2017-02-28,1186.74,1193.96,1203.91,1181.16,4774.82408546
2017-02-27,1182.59,1188.34,1214.96,1172.67,3399.03504139
2017-02-26,1169.99,1143.56,1191.99,1143.56,2745.63591387
2017-02-25,1162.79,1183.99,1185.82,1126.54,2490.3053395999996
2017-02-24,1198.19,1200.0,1213.39,1107.56,7982.2850642
2017-02-23,1155.93,1127.8,1200.0,1126.49,5435.72277203
2017-02-22,1130.67,1122.51,1140.0,1109.99,3664.73999518
2017-02-21,1105.63,1079.7,1134.59,1079.7,4178.57807578
2017-02-20,1063.81,1049.26,1085.51,1049.26,2643.36093477
2017-02-19,1054.81,1054.23,1061.98,1047.35,1344.71718397
2017-02-18,1065.99,1060.99,1069.23,1054.0,1611.61478435
2017-02-17,1057.92,1037.15,1063.99,1034.9,2813.26896509
2017-02-16,1034.4,1023.67,1042.14,1022.09,3409.69729445
2017-02-15,1011.19,1008.17,1026.6,1006.0,2892.71482548
2017-02-14,1012.2,997.34,1020.01,994.35,1942.22984245
2017-02-13,996.74,1009.0,1014.99,990.0,2903.4763533000005
2017-02-12,1009.0,1012.1,1013.12,1004.43,482.35092623599996
2017-02-11,1007.48,1000.07,1020.43,1000.0,718.015697441
2017-02-10,974.43,979.96,1009.09,955.99,2151.07493458
2017-02-09,982.37,1072.19,1079.99,948.22,7697.72083941
2017-02-08,1053.15,1068.62,1072.19,1023.58,3340.38140845
2017-02-07,1047.68,1026.99,1068.64,1026.98,3173.16340775
2017-02-06,1023.99,1016.95,1028.12,1015.03,3369.55881363
2017-02-05,1018.02,1028.9,1029.96,998.88,1168.59842696
2017-02-04,1018.04,1010.81,1041.97,1005.01,1138.95252398
2017-02-03,1018.99,1020.06,1024.0,995.98,3855.99233424
2017-02-02,998.98,980.48,1020.23,980.48,3198.13658263
2017-02-01,969.3,973.04,990.0,962.35,2549.24622188
2017-01-31,956.99,923.99,978.97,922.87,2065.82959452
2017-01-30,922.83,919.48,923.99,917.39,1608.00500072
2017-01-29,920.52,922.99,922.99,912.01,365.98010447800004
2017-01-28,921.06,921.73,922.99,918.78,394.780530595
2017-01-27,923.41,915.43,924.88,909.97,2132.97117863
2017-01-26,920.58,901.55,922.0,896.01,1986.4879065000002
2017-01-25,889.83,898.46,901.99,884.88,2414.39545656
2017-01-24,904.4,912.72,925.09,882.01,3417.81097163
2017-01-23,920.88,923.22,928.0,890.02,3220.70976686
2017-01-22,911.04,937.9,939.3,895.51,1105.52886921
2017-01-21,921.59,925.33,940.42,914.23,899.4079266389999
2017-01-20,899.03,901.56,925.33,885.01,3374.07453711
2017-01-19,894.67,890.83,908.97,884.74,2914.76509006
